Date,AAPL,GLD,LQD,MSFT,SPY,USO,VNQ
2020-04-01,58.463809967041016,149.4499969482422,102.39322662353516,145.59645080566406,228.86514282226562,35.040000915527344,53.9217529296875
2020-04-02,59.439369201660156,151.89999389648438,102.66310119628906,148.61158752441406,234.14630126953125,40.880001068115234,54.10353088378906
2020-04-03,58.58514404296875,152.64999389648438,102.13176727294922,147.24281311035156,230.76190185546875,47.20000076293945,53.31858444213867
2020-04-06,63.695960998535156,156.8800048828125,104.14740753173828,158.19297790527344,246.2613525390625,43.84000015258789,57.268104553222656
2020-04-07,62.95820617675781,156.0399932861328,104.3076400756836,156.4891357421875,246.5123748779297,40.720001220703125,57.79691696166992
2020-04-08,64.5696029663086,154.64999389648438,106.18836212158203,158.0589599609375,254.78741455078125,42.959999084472656,61.73817825317383
2020-04-09,65.03557586669922,158.69000244140625,111.1811294555664,158.0684814453125,258.6646423339844,39.84000015258789,65.20020294189453
2020-04-13,66.31204986572266,161.41000366210938,110.1015853881836,158.42263793945312,256.30291748046875,39.439998626708984,62.4570198059082
2020-04-14,69.66099548339844,162.67999267578125,109.56185150146484,166.26193237304688,263.8620300292969,37.279998779296875,64.20870208740234
2020-04-15,69.02519226074219,161.85000610351562,110.29560089111328,164.5198516845703,258.2554016113281,35.439998626708984,61.663818359375
2020-04-16,69.57365417480469,161.7100067138672,109.74737548828125,169.45892333984375,259.5014343261719,34.880001068115234,60.96151351928711
2020-04-17,68.62963104248047,158.57000732421875,110.11002349853516,170.95216369628906,266.5118713378906,33.68000030517578,62.88669204711914
2020-04-20,67.20508575439453,159.6999969482422,109.48593139648438,167.56373596191406,261.81646728515625,30.0,60.54836654663086
2020-04-21,65.12776947021484,158.61000061035156,109.09796905517578,160.63375854492188,253.8669891357422,22.479999542236328,59.44943618774414
2020-04-22,67.00367736816406,161.72999572753906,109.16545104980469,166.08966064453125,259.5014343261719,20.079999923706055,60.35832977294922
2020-04-23,66.74398803710938,163.33999633789062,109.62931060791016,164.07955932617188,259.4828186035156,21.1200008392334,59.85429763793945
2020-04-24,68.6708984375,162.63999938964844,109.55339050292969,167.07557678222656,263.09967041015625,20.559999465942383,60.11044692993164
2020-04-27,68.71941375732422,161.55999755859375,108.66788482666016,166.5969696044922,266.8930969238281,17.520000457763672,62.16783142089844
2020-04-28,67.60550689697266,160.83999633789062,108.96305847167969,162.53851318359375,265.6658020019531,17.040000915527344,62.680118560791016
2020-04-29,69.8260498046875,161.72999572753906,109.67992401123047,169.8321990966797,272.62054443359375,18.0,63.6220703125
2020-04-30,71.29910278320312,158.8000030517578,108.93778228759766,171.5360565185547,270.082275390625,19.1200008392334,62.88669204711914
2020-05-01,70.1512222290039,159.77999877929688,108.50653076171875,167.09469604492188,262.9322814941406,18.860000610351562,60.76319122314453
2020-05-04,71.14380645751953,160.33999633789062,108.67567443847656,171.1818389892578,263.65753173828125,19.670000076293945,60.46574783325195
2020-05-05,72.2115707397461,161.02000427246094,108.53190612792969,173.01963806152344,266.093505859375,21.510000228881836,60.76319122314453
2020-05-06,72.95658874511719,158.9499969482422,107.31446838378906,174.723388671875,264.2897644042969,20.850000381469727,59.672523498535156
2020-05-07,73.71133422851562,161.38999938964844,107.60193634033203,175.73802185058594,267.47894287109375,20.469999313354492,60.52358627319336
2020-05-08,75.46578979492188,160.4199981689453,107.08618927001953,176.77174377441406,271.90460205078125,21.469999313354492,61.961265563964844
2020-05-11,76.65327453613281,159.4199981689453,106.14774322509766,178.74356079101562,271.96044921875,21.170000076293945,61.0606575012207
2020-05-12,75.77725219726562,160.0399932861328,107.17073059082031,174.69468688964844,266.539794921875,20.969999313354492,58.28441619873047
2020-05-13,74.8623046875,161.5800018310547,107.41590881347656,172.05284118652344,261.8257751464844,20.600000381469727,56.87149429321289
2020-05-14,75.32221221923828,163.00999450683594,108.30364227294922,172.79945373535156,264.95916748046875,21.450000762939453,57.06979751586914
2020-05-15,74.87688446044922,163.92999267578125,108.68409729003906,175.3168487548828,266.1771240234375,22.389999389648438,56.84671401977539
2020-05-18,76.64108276367188,162.69000244140625,109.30130004882812,176.99191284179688,274.284912109375,24.309999465942383,60.2096061706543
2020-05-19,76.19821166992188,164.25999450683594,109.38584899902344,175.76673889160156,271.4676513671875,24.440000534057617,59.39986038208008
2020-05-20,77.68013763427734,164.64999389648438,110.58642578125,178.2047119140625,276.07928466796875,25.34000015258789,59.928672790527344
